#{"t_start": 1767956539.4536495, "env_id": "highway-v0"}
r,l,t
-2.05127,10,6.403263
-2.051526,7,10.463978
-3.948766,7,14.576562
5.301528,40,34.108519
-1.542686,25,46.260033
-2.401489,16,54.0189
-3.491202,11,59.375351
-4.163356,5,61.841642
-4.050023,3,63.327382
2.449985,34,80.005041
-1.801526,8,83.933605
5.549979,40,103.347702
-4.705817,5,105.832746
-2.541217,33,126.386641
-4.5,3,128.416884
-2.051526,7,133.131867
-1.984057,15,141.64292
-3.663689,23,156.752628
-4.0833,7,160.52667
-3.70727,30,174.568073
-2.542684,15,181.860661
-2.584467,7,185.249996
-4.25,4,187.159743
-2.83192,6,190.062295
-3.79397,4,191.939301
-3.05127,6,194.722164
-3.501248,6,197.330002
-2.801484,5,199.658782
-2.80127,7,202.757082
-1.000257,28,215.867751
-1.707279,12,221.689081
-0.083333,21,231.881128
-0.749994,37,249.698146
-3.94972,11,255.018606
1.949721,22,265.686722
-1.749992,20,275.38488
-2.55152,5,277.954605
11.698474,40,297.490652
-1.248532,16,305.37492
2.000257,30,320.048517
-4.542722,2,321.027454
0.420383,23,332.522727
-4.5,3,334.016026
-3.792722,5,336.383136
-3.051263,12,341.798309
-4.5,3,343.201241
0.007843,28,356.733888
-3.250213,7,360.173236
-2.301482,10,364.902951
-3.161864,5,367.167826
-3.744732,3,368.521821
-1.051526,11,373.542398
1.500221,40,392.911837
-2.758762,7,396.354299
-3.000001,8,400.276799
-1.492142,15,407.524778
-2.748495,15,414.849239
-4.491452,5,417.32406
-3.800023,4,419.304463
-1.45019,18,427.918232
1.586654,32,443.359492
0.19972,24,454.903173
0.418078,15,462.20158
-4.292722,3,463.68466
-2.301227,12,469.447151
1.010841,14,476.224027
-0.551527,10,480.962726
-3.541224,10,485.743861
-1.507293,22,496.41069
-1.999964,22,506.985624
-1.793927,12,512.832454
-4.25,4,514.785072
5.80003,40,534.087923
1.949979,22,544.933398
-4.233695,5,547.407968
-0.501505,11,552.7513
-3.549979,16,560.553601
-4.5,3,562.04408
-4.292722,3,563.553841
-4.241452,6,566.466199
3.948474,28,579.915957
-3.800023,4,581.873487
0.698474,27,594.841951
-3.707063,14,601.534589
-3.656685,17,610.372675
-2.748495,39,630.163663
-3.007301,8,634.100556
-2.551263,24,650.355028
-1.413276,16,658.545669
-3.708739,5,661.208874
-2.491203,11,667.896003
-2.051476,16,676.797465
-2.699976,20,688.779048
-1.051278,10,693.596992
-1.741459,11,698.921778
-1.999999,28,712.556449
-4.248752,5,714.966506
-3.542722,6,717.859147
-4.248503,7,721.30545
1.207279,33,737.300858
-2.739684,14,744.033657
-2.948737,15,751.366149
-3.248532,11,756.699653
-2.55127,8,760.623065
-4.292722,3,762.098531
